Votes,Score,English_Name,Favourites_count,Popularity_ranking
98941,6,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
42229,5,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
16832,4,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
7506,3,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
3742,2,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
2528,1,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,71
140183,10,JoJo no Kimyou na Bouken (TV),,61
190209,9,JoJo no Kimyou na Bouken (TV),,61
297436,8,JoJo no Kimyou na Bouken (TV),,61
224205,7,JoJo no Kimyou na Bouken (TV),,61
83763,6,JoJo no Kimyou na Bouken (TV),,61
30950,5,JoJo no Kimyou na Bouken (TV),,61
12545,4,JoJo no Kimyou na Bouken (TV),,61
4968,3,JoJo no Kimyou na Bouken (TV),,61
2888,2,JoJo no Kimyou na Bouken (TV),,61
4260,1,JoJo no Kimyou na Bouken (TV),,61
171408,10,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
311909,9,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
335281,8,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
129722,7,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
32212,6,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
11804,5,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
4417,4,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
1725,3,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
1047,2,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
2351,1,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,54
115344,10,Overlord,,68
177034,9,Overlord,,68
286991,8,Overlord,,68
191304,7,Overlord,,68
65504,6,Overlord,,68
26749,5,Overlord,,68
11488,4,Overlord,,68
4832,3,Overlord,,68
2243,2,Overlord,,68
2022,1,Overlord,,68
142021,10,Clannad,,79
155360,9,Clannad,,79
187604,8,Clannad,,79
130340,7,Clannad,,79
57875,6,Clannad,,79
29049,5,Clannad,,79
13668,4,Clannad,,79
5965,3,Clannad,,79
3432,2,Clannad,,79
3701,1,Clannad,,79
93560,10,Durarara!!,,82
158115,9,Durarara!!,,82
198471,8,Durarara!!,,82
118958,7,Durarara!!,,82
43183,6,Durarara!!,,82
18879,5,Durarara!!,,82
6695,4,Durarara!!,,82
2221,3,Durarara!!,,82
1104,2,Durarara!!,,82
1296,1,Durarara!!,,82
120323,10,Noragami Aragoto,,77
217470,9,Noragami Aragoto,,77
292656,8,Noragami Aragoto,,77
155444,7,Noragami Aragoto,,77
45306,6,Noragami Aragoto,,77
15465,5,Noragami Aragoto,,77
4153,4,Noragami Aragoto,,77
1285,3,Noragami Aragoto,,77
614,2,Noragami Aragoto,,77
683,1,Noragami Aragoto,,77
152157,10,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
261568,9,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
315130,8,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
144688,7,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
40864,6,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
14195,5,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
5026,4,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
1876,3,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
1101,2,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
1416,1,Kono Subarashii Sekai ni Shukufuku wo! 2,,75
140479,10,Bakemonogatari,,83
203160,9,Bakemonogatari,,83
198631,8,Bakemonogatari,,83
95168,7,Bakemonogatari,,83
33823,6,Bakemonogatari,,83
15434,5,Bakemonogatari,,83
7216,4,Bakemonogatari,,83
3352,3,Bakemonogatari,,83
1929,2,Bakemonogatari,,83
2798,1,Bakemonogatari,,83
131816,10,Black Clover,,66
155160,9,Black Clover,,66
203458,8,Black Clover,,66
142161,7,Black Clover,,66
57684,6,Black Clover,,66
30923,5,Black Clover,,66
17390,4,Black Clover,,66
8788,3,Black Clover,,66
5270,2,Black Clover,,66
6299,1,Black Clover,,66
120284,10,High School DxD,,80
102470,9,High School DxD,,80
187222,8,High School DxD,,80
213824,7,High School DxD,,80
112211,6,High School DxD,,80
57926,5,High School DxD,,80
28845,4,High School DxD,,80
15025,3,High School DxD,,80
9052,2,High School DxD,,80
9382,1,High School DxD,,80
136893,10,Tate no Yuusha no Nariagari,,69
207997,9,Tate no Yuusha no Nariagari,,69
281521,8,Tate no Yuusha no Nariagari,,69
169248,7,Tate no Yuusha no Nariagari,,69
62175,6,Tate no Yuusha no Nariagari,,69
27330,5,Tate no Yuusha no Nariagari,,69
13464,4,Tate no Yuusha no Nariagari,,69
6379,3,Tate no Yuusha no Nariagari,,69
3234,2,Tate no Yuusha no Nariagari,,69
3453,1,Tate no Yuusha no Nariagari,,69
104327,10,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
175118,9,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
276708,8,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
165880,7,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
49970,6,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
18089,5,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
6333,4,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
2568,3,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
1134,2,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
1469,1,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
62411,10,Kakegurui,10460,78
102827,9,Kakegurui,10460,78
220007,8,Kakegurui,10460,78
243616,7,Kakegurui,10460,78
119092,6,Kakegurui,10460,78
54206,5,Kakegurui,10460,78
26556,4,Kakegurui,10460,78
11724,3,Kakegurui,10460,78
6803,2,Kakegurui,10460,78
5963,1,Kakegurui,10460,78
74932,10,Chuunibyou demo Koi ga Shitai!,,90
125549,9,Chuunibyou demo Koi ga Shitai!,,90
231931,8,Chuunibyou demo Koi ga Shitai!,,90
191304,7,Chuunibyou demo Koi ga Shitai!,,90
71527,6,Chuunibyou demo Koi ga Shitai!,,90
28336,5,Chuunibyou demo Koi ga Shitai!,,90
10005,4,Chuunibyou demo Koi ga Shitai!,,90
3769,3,Chuunibyou demo Koi ga Shitai!,,90
1846,2,Chuunibyou demo Koi ga Shitai!,,90
1733,1,Chuunibyou demo Koi ga Shitai!,,90
217389,10,Haikyuu!! Second Season,,85
290614,9,Haikyuu!! Second Season,,85
252731,8,Haikyuu!! Second Season,,85
91074,7,Haikyuu!! Second Season,,85
20232,6,Haikyuu!! Second Season,,85
6518,5,Haikyuu!! Second Season,,85
1621,4,Haikyuu!! Second Season,,85
624,3,Haikyuu!! Second Season,,85
362,2,Haikyuu!! Second Season,,85
1385,1,Haikyuu!! Second Season,,85
188115,10,Ansatsu Kyoushitsu 2nd Season,,86
251493,9,Ansatsu Kyoushitsu 2nd Season,,86
236566,8,Ansatsu Kyoushitsu 2nd Season,,86
105721,7,Ansatsu Kyoushitsu 2nd Season,,86
30687,6,Ansatsu Kyoushitsu 2nd Season,,86
10772,5,Ansatsu Kyoushitsu 2nd Season,,86
3618,4,Ansatsu Kyoushitsu 2nd Season,,86
1245,3,Ansatsu Kyoushitsu 2nd Season,,86
665,2,Ansatsu Kyoushitsu 2nd Season,,86
1033,1,Ansatsu Kyoushitsu 2nd Season,,86
84435,10,Hyouka,,88
144486,9,Hyouka,,88
190292,8,Hyouka,,88
113389,7,Hyouka,,88
42272,6,Hyouka,,88
18551,5,Hyouka,,88
6750,4,Hyouka,,88
2270,3,Hyouka,,88
1260,2,Hyouka,,88
1326,1,Hyouka,,88
244579,10,Mob Psycho 100 II,31355,76
328609,9,Mob Psycho 100 II,31355,76
215134,8,Mob Psycho 100 II,31355,76
67495,7,Mob Psycho 100 II,31355,76
14568,6,Mob Psycho 100 II,31355,76
4112,5,Mob Psycho 100 II,31355,76
1179,4,Mob Psycho 100 II,31355,76
450,3,Mob Psycho 100 II,31355,76
255,2,Mob Psycho 100 II,31355,76
1491,1,Mob Psycho 100 II,31355,76
169868,10,Mahou Shoujo Madoka★Magica,,98
193427,9,Mahou Shoujo Madoka★Magica,,98
185362,8,Mahou Shoujo Madoka★Magica,,98
96962,7,Mahou Shoujo Madoka★Magica,,98
36631,6,Mahou Shoujo Madoka★Magica,,98
16231,5,Mahou Shoujo Madoka★Magica,,98
7361,4,Mahou Shoujo Madoka★Magica,,98
3140,3,Mahou Shoujo Madoka★Magica,,98
1834,2,Mahou Shoujo Madoka★Magica,,98
2733,1,Mahou Shoujo Madoka★Magica,,98
67180,10,Owari no Seraph,,94
96165,9,Owari no Seraph,,94
186711,8,Owari no Seraph,,94
192828,7,Owari no Seraph,,94
82155,6,Owari no Seraph,,94
35319,5,Owari no Seraph,,94
14340,4,Owari no Seraph,,94
5964,3,Owari no Seraph,,94
2641,2,Owari no Seraph,,94
2192,1,Owari no Seraph,,94
43086,10,Deadman Wonderland,6603,102
78699,9,Deadman Wonderland,6603,102
158142,8,Deadman Wonderland,6603,102
191383,7,Deadman Wonderland,6603,102
102931,6,Deadman Wonderland,6603,102
46400,5,Deadman Wonderland,6603,102
22217,4,Deadman Wonderland,6603,102
9176,3,Deadman Wonderland,6603,102
4438,2,Deadman Wonderland,6603,102
2691,1,Deadman Wonderland,6603,102
110645,10,Sakura-sou no Pet na Kanojo,,100
161358,9,Sakura-sou no Pet na Kanojo,,100
200877,8,Sakura-sou no Pet na Kanojo,,100
125358,7,Sakura-sou no Pet na Kanojo,,100
46711,6,Sakura-sou no Pet na Kanojo,,100
19853,5,Sakura-sou no Pet na Kanojo,,100
7643,4,Sakura-sou no Pet na Kanojo,,100
3011,3,Sakura-sou no Pet na Kanojo,,100
1410,2,Sakura-sou no Pet na Kanojo,,100
1509,1,Sakura-sou no Pet na Kanojo,,100
73727,10,Guilty Crown,16807,103
93077,9,Guilty Crown,16807,103
145148,8,Guilty Crown,16807,103
143722,7,Guilty Crown,16807,103
76674,6,Guilty Crown,16807,103
39182,5,Guilty Crown,16807,103
23394,4,Guilty Crown,16807,103
10567,3,Guilty Crown,16807,103
5570,2,Guilty Crown,16807,103
4525,1,Guilty Crown,16807,103
119562,10,Kaichou wa Maid-sama!,,101
146709,9,Kaichou wa Maid-sama!,,101
197805,8,Kaichou wa Maid-sama!,,101
139456,7,Kaichou wa Maid-sama!,,101
53412,6,Kaichou wa Maid-sama!,,101
23401,5,Kaichou wa Maid-sama!,,101
8404,4,Kaichou wa Maid-sama!,,101
3313,3,Kaichou wa Maid-sama!,,101
1695,2,Kaichou wa Maid-sama!,,101
1665,1,Kaichou wa Maid-sama!,,101
178641,10,Made in Abyss,,93
234815,9,Made in Abyss,,93
168931,8,Made in Abyss,,93
64178,7,Made in Abyss,,93
19314,6,Made in Abyss,,93
7601,5,Made in Abyss,,93
3188,4,Made in Abyss,,93
1437,3,Made in Abyss,,93
823,2,Made in Abyss,,93
1597,1,Made in Abyss,,93
272229,10,Howl no Ugoku Shiro,,95
237951,9,Howl no Ugoku Shiro,,95
200421,8,Howl no Ugoku Shiro,,95
92020,7,Howl no Ugoku Shiro,,95
27635,6,Howl no Ugoku Shiro,,95
9465,5,Howl no Ugoku Shiro,,95
3409,4,Howl no Ugoku Shiro,,95
1146,3,Howl no Ugoku Shiro,,95
550,2,Howl no Ugoku Shiro,,95
903,1,Howl no Ugoku Shiro,,95
134387,10,Samurai Champloo,,105
186308,9,Samurai Champloo,,105
168347,8,Samurai Champloo,,105
78652,7,Samurai Champloo,,105
22454,6,Samurai Champloo,,105
8193,5,Samurai Champloo,,105
2496,4,Samurai Champloo,,105
1037,3,Samurai Champloo,,105
471,2,Samurai Champloo,,105
1096,1,Samurai Champloo,,105
185471,10,Dragon Ball Z,35494,109
163840,9,Dragon Ball Z,35494,109
208679,8,Dragon Ball Z,35494,109
151126,7,Dragon Ball Z,35494,109
56257,6,Dragon Ball Z,35494,109
22785,5,Dragon Ball Z,35494,109
7042,4,Dragon Ball Z,35494,109
2657,3,Dragon Ball Z,35494,109
1409,2,Dragon Ball Z,35494,109
2356,1,Dragon Ball Z,35494,109
125212,10,Tensei shitara Slime Datta Ken,,87
189337,9,Tensei shitara Slime Datta Ken,,87
260081,8,Tensei shitara Slime Datta Ken,,87
142578,7,Tensei shitara Slime Datta Ken,,87
43681,6,Tensei shitara Slime Datta Ken,,87
17285,5,Tensei shitara Slime Datta Ken,,87
6676,4,Tensei shitara Slime Datta Ken,,87
2775,3,Tensei shitara Slime Datta Ken,,87
1231,2,Tensei shitara Slime Datta Ken,,87
1752,1,Tensei shitara Slime Datta Ken,,87
288280,10,Clannad: After Story,,111
159453,9,Clannad: After Story,,111
98178,8,Clannad: After Story,,111
46692,7,Clannad: After Story,,111
18952,6,Clannad: After Story,,111
9139,5,Clannad: After Story,,111
4680,4,Clannad: After Story,,111
2140,3,Clannad: After Story,,111
1599,2,Clannad: After Story,,111
3266,1,Clannad: After Story,,111
73670,10,Bungou Stray Dogs,,92
109097,9,Bungou Stray Dogs,,92
209634,8,Bungou Stray Dogs,,92
165136,7,Bungou Stray Dogs,,92
51400,6,Bungou Stray Dogs,,92
19531,5,Bungou Stray Dogs,,92
6401,4,Bungou Stray Dogs,,92
2249,3,Bungou Stray Dogs,,92
897,2,Bungou Stray Dogs,,92
931,1,Bungou Stray Dogs,,92
